Local_To_Overseas_Twinnings::pk_local_to_overseas_twinnings_ID,Local_To_Overseas_Twinnings::fk_localconference_ID,Local_To_Overseas_Twinnings::fk_overseasconference_ID,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_ActiveFlag,Local_To_Overseas_Twinnings::----- U I  F I E L D S -----,Local_To_Overseas_Twinnings::c_UI_local_to_overseas_twinnings_GreenActive,Local_To_Overseas_Twinnings::c_UI_local_to_overseas_twinnings_RedInActive,Local_To_Overseas_Twinnings::----- L O O K  U P S -----,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_Name_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_State_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_DioCouncil_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_RegionalCouncil_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Local_Conf_Parish_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Overseas_Conf_Name_LU,Local_To_Overseas_Twinnings::local_to_overseas_twinnings_Overseas_Conf_Country_LU
3434,128,132,,,,,,ST PIUS X,,SOUTHERN,ANNERLEY,SALISBURY,ST FELIX: ,PAKISTAN
3431,129,129,,,,,,ST ELIZABETH,,SOUTHERN,ANNERLEY,EKIBIN,ST FRANSISCA ROMANA: JEMBER,INDONESIA
4621,129,2206,,,,,,ST ELIZABETH,,SOUTHERN,ANNERLEY,EKIBIN,ST THOMAS: ,INDIA
3432,130,130,,,,,,ST FRANCIS OF ASSISI,,SOUTHERN,ANNERLEY,WEST END,ST THERESIA (MIX): PROBOLINGGO,INDONESIA
5596,130,6697,,,,,,ST FRANCIS OF ASSISI,,SOUTHERN,ANNERLEY,WEST END,ST GEORGE: BIROIDAKUNI,BANGLADESH
3433,131,131,,,,,,ST BRENDAN,,SOUTHERN,ANNERLEY,MOOROOKA,DON BOSCO (MIX): AMBULU/JEMBER,INDONESIA
5616,131,6720,,,,,,ST BRENDAN,,SOUTHERN,ANNERLEY,MOOROOKA,ST CHARLES: BHALUKAPARA,BANGLADESH
3435,133,133,,,,,,MARY IMMACULATE,,SOUTHERN,ANNERLEY,ANNERLEY,JESUS THE TRUE FRIEND: ,PAKISTAN
3436,133,134,,,,,,MARY IMMACULATE,,SOUTHERN,ANNERLEY,ANNERLEY,GOD THE HELPER: ,PAKISTAN
3437,135,135,,,,,,OUR LADY'S COLLEGE,,SOUTHERN,ANNERLEY,ANNERLEY,ST CATHERINE LABOURE (Y): ,PHILIPPINES
5597,135,6698,,,,,,OUR LADY'S COLLEGE,,SOUTHERN,ANNERLEY,ANNERLEY,ST DOMINIC: JINAIGATI,BANGLADESH
5888,137,149,,,,,,ST CATHERINE,QLD,BRISBANE SOUTHERN,SOUTH SUBURBS,MANSFIELD,ST GEORGE SRN: 149: KADIVILA,INDIA
5638,137,6745,,,,,,ST CATHERINE,,BRISBANE SOUTHERN,SOUTH SUBURBS,MANSFIELD,LITTLE FLOWER: VELLARAMPADAM,INDIA
3438,141,139,,,,,,ST JOACHIM,,SOUTHERN,SOUTH SUBURBS,HOLLAND PARK,ST JACOB: PULLUVILA,INDIA
5036,141,5764,,,,,,ST JOACHIM,,SOUTHERN,SOUTH SUBURBS,HOLLAND PARK,HOLY TRINITY: NEDURANVILA,INDIA
,,,,,,,,,,,,,,
5636,142,6743,,,,,,ST BERNARD,,SOUTHERN,SOUTH SUBURBS,UPPER MT GRAVATT,ST JUDE: MUNIPPARA,INDIA
3439,145,145,,,,,,CLAIRVAUX COLLEGE,,SOUTHERN,SOUTH SUBURBS,UPPER MT GRAVATT,ST AMALA (Y.L.): ERAVIPUTHENTHURA,INDIA
,,,,,,,,,,,,,,
5637,146,6744,,,,,,O.L. OF MT CARMEL,,SOUTHERN,SOUTH SUBURBS,COORPAROO,CARMEL MATHA: KORMALA,INDIA
,,,,,,,,,,,,,,
4874,153,2576,,,,,,ST OLIVER PLUNKETT,,SOUTHERN,SOUTH EASTERN,CANNON HILL,ST JOSEPH: MULLIPPADI,INDIA
,,,,,,,,,,,,,,
3447,155,155,,,,,,LOURDES HILL COLLEGE,,SOUTHERN,SOUTH EASTERN,HAWTHORNE,HOLY CROSS: MAPRANAM,INDIA
3382,156,59,,,,,,STS PETER & PAUL,,SOUTHERN,SOUTH EASTERN,HAWTHORNE,MARY HELP OF CHRISTIANS: FARIDABAD,INDIA
3448,156,156,,,,,,STS PETER & PAUL,,SOUTHERN,SOUTH EASTERN,HAWTHORNE,ST SEBASTIAN: SEBASTIANPURAM,INDIA
6395,16939,157,,,,,,Dandenong Regional Council,,Southern,,N/A,ST SEBASTIAN SRN: 157: VELLIKULANGARA,INDIA
3450,158,158,,,,,,ST THOMAS,,SOUTHERN,SOUTH EASTERN,CAMP HILL,ST SEBASTIAN: KUTTIKAD,INDIA
3451,160,159,,,,,,ST JOHN VIANNEY,,SOUTHERN,SOUTH EASTERN,MANLY,ST GEORGE: MOTHIRAKANNY,INDIA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
